No.,Pitch(mm),Resistance(§Ù),Weight(g)
#1,0.8525,,15.12
#2,0.8565,,15.05
#3,0.8577,,14.85
#4,0.8635,,14.87
#5,0.865,,14.93
#6,0.8669,,14.91
#7,0.8704,104.1,
#8,0.8704,105.0,
#9,0.8704,104.6,
#10,0.8704,103.6,
#11,0.8704,103.4,
#12,0.8704,105.5,
#13,0.8738,,
#14,0.8852,,
#15,0.9393,,14.01
#16,0.9425,,13.92
#17,0.9499,,13.88
#18,0.9502,94.8,13.64
#19,0.9502,94.3,
#20,0.9502,95.1,
#21,0.9502,94.6,
#22,0.9502,93.9,
#23,0.9502,95.1,
#24,0.9502,95.6,
#25,0.9593,,13.85
#26,0.9617,,13.78
#27,0.966,,13.62
#28,0.9794,,13.64
#29,1.0055,,13.03
#30,1.0139,,12.81
#31,1.0158,,12.66
#32,1.0163,,12.88
#33,1.0200,88.6,12.76
#34,1.0200,88.8,
#35,1.0200,87.9,
#36,1.0200,88.1,
#37,1.0200,88.0,
#38,1.0200,87.9,
#39,1.0200,87.4,
#40,1.0287,,12.86
#41,1.035,,12.61
#42,1.0485,,12.83
